,,,,,,,,,,,,,,,,,,,,
,Course,Player,Time (sec),Division,Date,Event,Video proof,Filmer,Camera,Shoes,+/- (sec),+/- (%),Points,Course ID,Player ID,Run ID,Country,🏴,new CR?,former CR holder?
,RIVERBANK,INTERIM TOP TIME,23.00,F,2026-01-01,,,-,,,,,,,,,,,,
,MCCARTHY,INTERIM TOP TIME,23.00,F,2026-01-01,,,-,,,,,,,,,,,,
,MINES 2,INTERIM TOP TIME,20.00,F,2026-01-01,,,-,,,,,,,,,,,,
,COTTONWOOD 2,INTERIM TOP TIME,17.00,F,2026-01-01,,,-,,,,,,,,,,,,
,NEURO,INTERIM TOP TIME,30.00,F,2026-01-01,,,-,,,,,,,,,,,,
,LINEAL,INTERIM TOP TIME,30.00,F,2026-01-01,,,-,,,,,,,,,,,,
,JACKSONVILLE,INTERIM TOP TIME,22.00,F,2026-01-01,,,-,,,,,,,,,,,,
,GRAN CANAL 2,INTERIM TOP TIME,14.00,M,2026-01-01,,,-,,,,,,,,,,,,
,SEWELL,INTERIM TOP TIME,19.00,F,2026-01-01,,,-,,,,,,,,,,,,
,WALLACE 2,INTERIM TOP TIME,38.00,F,2026-01-01,,,-,,,,,,,,,,,,
,VILLARROEL,INTERIM TOP TIME,21.00,F,2026-01-01,,,-,,,,,,,,,,,,
,PONTINHA,INTERIM TOP TIME,31.00,F,2026-01-01,,,-,,,,,,,,,,,,
,JURONG,INTERIM TOP TIME,32.00,F,2026-01-01,,,-,,,,,,,,,,,,
,RED ROCKS,INTERIM TOP TIME,17.00,F,2026-01-01,,,-,,,,,,,,,,,,
,WATERFRONT,INTERIM TOP TIME,27.00,F,2026-01-01,,,-,,,,,,,,,,,,
,HANCE 1,INTERIM TOP TIME,21.00,F,2026-01-01,,,-,,,,,,,,,,,,
,BEAN LOG,INTERIM TOP TIME,21.00,F,2026-01-01,,,-,,,,,,,,,,,,
,WYOMING,INTERIM TOP TIME,16.00,F,2026-01-01,,,-,,,,,,,,,,,,
,URBAN LIFE,INTERIM TOP TIME,31.00,F,2026-01-01,,,-,,,,,,,,,,,,
,SFU,INTERIM TOP TIME,16.00,F,2026-01-01,,,-,,,,,,,,,,,,
,LVCH,INTERIM TOP TIME,17.00,F,2026-01-01,,,-,,,,,,,,,,,,
,HCH,INTERIM TOP TIME,13.00,F,2026-01-01,,,-,,,,,,,,,,,,
,NSU,INTERIM TOP TIME,16.00,F,2026-01-01,,,-,,,,,,,,,,,,
,CSN,INTERIM TOP TIME,26.00,F,2026-01-01,,,-,,,,,,,,,,,,
,TOWNSHIP 9,INTERIM TOP TIME,24.00,F,2026-01-01,,,-,,,,,,,,,,,,
,BAUTISTA,INTERIM TOP TIME,21.00,F,2026-01-01,,,-,,,,,,,,,,,,
,VÓRTICE,INTERIM TOP TIME,29.00,F,2026-01-01,,,-,,,,,,,,,,,,
,MEDICAL,INTERIM TOP TIME,33.00,F,2026-01-01,,,-,,,,,,,,,,,,
,JAFFA,INTERIM TOP TIME,23.00,F,2026-01-01,,,-,,,,,,,,,,,,
,UNAM 2,INTERIM TOP TIME,12.00,F,2026-01-01,,,-,,,,,,,,,,,,
,PSU,INTERIM TOP TIME,22.00,F,2026-01-01,,,-,,,,,,,,,,,,
,SAWS,INTERIM TOP TIME,23.00,F,2026-01-01,,,-,,,,,,,,,,,,
,KELLER,INTERIM TOP TIME,15.00,F,2026-01-01,,,-,,,,,,,,,,,,
,FREEWAY 1,INTERIM TOP TIME,15.00,F,2026-01-01,,,-,,,,,,,,,,,,
,LAM,INTERIM TOP TIME,25.00,F,2026-01-01,,,-,,,,,,,,,,,,
,COAL HARBOUR,INTERIM TOP TIME,18.00,F,2026-01-01,,,-,,,,,,,,,,,,
,UU3,INTERIM TOP TIME,13.00,F,2026-01-01,,,-,,,,,,,,,,,,
,UTAH,INTERIM TOP TIME,25.00,F,2026-01-01,,,-,,,,,,,,,,,,
,UU2,INTERIM TOP TIME,20.00,F,2026-01-01,,,-,,,,,,,,,,,,
,GAS WORKS 1,INTERIM TOP TIME,17.00,F,2026-01-01,,,-,,,,,,,,,,,,
,GREEN LAKE,INTERIM TOP TIME,16.00,F,2026-01-01,,,-,,,,,,,,,,,,
,BFI,INTERIM TOP TIME,15.00,F,2026-01-01,,,-,,,,,,,,,,,,
,BLACK HILLS,INTERIM TOP TIME,12.00,M,2026-01-01,,,-,,,,,,,,,,,,
,ORMSUND,INTERIM TOP TIME,16.00,M,2026-01-01,,,-,,,,,,,,,,,,
,TOLERÀNCIA,INTERIM TOP TIME,15.00,M,2026-01-01,,,-,,,,,,,,,,,,
,WATER GARDEN,INTERIM TOP TIME,10.00,M,2026-01-01,,,-,,,,,,,,,,,,
,LANIKAI,INTERIM TOP TIME,15.00,M,2026-01-01,,,-,,,,,,,,,,,,
,COTTONWOOD 1,INTERIM TOP TIME,11.00,M,2026-01-01,,,-,,,,,,,,,,,,
,RUINAS,Brendan Kittredge,47.94,M,2025-12-11,,https://www.instagram.com/reel/DSKshUPDU9G/,Ryan Ford,,,,,,,,,,,,
,RUINAS,Thalia Rivera,35.63,F,2025-12-11,,,Ryan Ford,,,,,,,,,,,,
,NAVFAC,Taylor Carpenter,9.97,F,2025-12-11,,https://www.instagram.com/p/DSNiWMvgk4I/,Ryan Ford,,,,,,,,,,,,
,PEÑUELAS,Nate Rolon,20.76,M,2025-12-10,,,Ryan Ford,,,,,,,,,,,,
,PEÑUELAS,Joel Rivera,27.69,M,2025-12-10,,,Ryan Ford,,,,,,,,,,,,
,PEÑUELAS,Taylor Carpenter,23.40,F,2025-12-10,,,Ryan Ford,,,,,,,,,,,,
,PEÑUELAS,Thalia Rivera,34.57,F,2025-12-10,,,Ryan Ford,,,,,,,,,,,,
,RUINAS,Nate Rolon,19.31,M,2025-12-08,,https://youtube.com/shorts/vz3d7gZEKVo,Ryan Ford,,,,,,,,,,,,
,NAVFAC,Nate Rolon,9.80,M,2025-12-08,,https://youtube.com/shorts/BbalW_SAfgs,Ryan Ford,,,,,,,,,,,,
,BENEFICENCIA,Jean Sánchez,16.43,M,2025-12-07,,https://youtube.com/shorts/C9j6I_2yaFU,Ryan Ford,,,,,,,,,,,,
,BENEFICENCIA,Taylor Carpenter,21.33,F,2025-12-07,,https://youtube.com/shorts/fTJrK4HMva8,Ryan Ford,,,,,,,,,,,,
,RUINAS,Juan Candelario,20.63,M,2025-12-06,,,Ryan Ford,,,,,,,,,,,,
,RUINAS,Taylor Carpenter,21.49,F,2025-12-06,,https://youtube.com/shorts/yvxUbGXOyGU,Ryan Ford,,,,,,,,,,,,
,UMC,Olof Wood,7.80,M,2025-11-11,,,Ryan Ford,,,,,,,,,,,,
,UMC,Max Boice,8.17,M,2025-11-11,,,Ryan Ford,,,,,,,,,,,,
,UMC,Cosmo Palmer,9.85,M,2025-11-11,,https://www.instagram.com/p/DQ7yQGnDpi7/,Ryan Ford,,,,,,,,,,,,
,TIVOLI,Benati Louvouezo,6.80,M,2025-11-08,,https://youtube.com/shorts/lfLMMWKYR94,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Benati Louvouezo,8.63,M,2025-11-07,,https://youtube.com/shorts/wdkVYHfEhlY,Ryan Ford,,,,,,,,,,,✅,
,HIGHLAND,Benati Louvouezo,8.16,M,2025-11-07,,https://youtube.com/shorts/k9hNukf1U5o,Ryan Ford,,,,,,,,,,,✅,
,HIGHLAND,Olof Wood,8.96,M,2025-11-07,,,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Pete Peterson,17.30,M,2025-11-07,,,Ryan Ford,,,,,,,,,,,,
,MILLENNIUM,Vanessa Sherk,37.60,F,2025-11-07,,,Ryan Ford,,,,,,,,,,,,
,HIGHLAND,Vanessa Sherk,35.03,F,2025-11-07,,,Ryan Ford,,,,,,,,,,,,
,MCILVOY,Karl Ford,27.68,M,2025-11-04,,,Ryan Ford,,,,,,,,,,,,
,MCILVOY,Anne Brown,32.07,F,2025-11-04,,,Ryan Ford,,,,,,,,,,,,
,YORK,Olof Wood,15.26,M,2025-10-27,,https://youtube.com/shorts/d8h6aZ-4mNc,Ryan Ford,,,,,,,,,,,,
,YORK,Taylor Carpenter,24.25,M,2025-10-27,,https://youtube.com/shorts/vOP59SBEueo,Ryan Ford,,,,,,,,,,,,
,HILL,Taylor Carpenter,18.96,F,2025-10-25,,,Ryan Ford,,,,,,,,,,,,
,HILL,Amy Jepsen,67.85,F,2025-10-25,,,Ryan Ford,,,,,,,,,,,,
,SPEER,Olof Wood,13.91,M,2025-10-22,,https://youtube.com/shorts/zrjz6_lE430,Ryan Ford,,,,,,,,,,,,
,SPEER,Michael Sliger,18.11,M,2025-10-22,,,Ryan Ford,,,,,,,,,,,,
,SPEER,Ryan Ford,26.44,M,2025-10-22,,,Taylor Carpenter,,,,,,,,,,,,
,SPEER,Sean Hannah,27.71,M,2025-10-22,,,Ryan Ford,,,,,,,,,,,,
,MCILVOY,Olof Wood,8.33,M,2025-10-21,,https://youtube.com/shorts/y04_uYbCcUg,Ryan Ford,,,,,,,,,,,,
,MCILVOY,Taylor Carpenter,11.80,F,2025-10-21,,https://youtube.com/shorts/baGS85-RITo,Ryan Ford,,,,,,,,,,,,
,UMC,Amy Jepsen,25.94,F,2025-10-20,,,Ryan Ford,,,,,,,,,,,,
,MCILVOY,Joey Jepsen,9.09,M,2025-10-20,,https://youtube.com/shorts/0u4tHc1MnAI,Ryan Ford,,,,,,,,,,,,
